genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Amphibacillus marinus,872970,J1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus,,36.7,,GU213062,54.8,7
Pantoea alhagi,1891675,LTYR-11Z,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,GCA_002101395.1,53.5,4.3,KX494924,56.3,7
Bacillus deserti,673318,ZLD-8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,40.1,,GQ465041,54.8,7
Ponticoccus alexandrii,1943633,AT2-A,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ponticoccus,,68.8,,KY012361,54.9,7
Bacillus korlensis,519977,ZLC-26,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,38.2,,EU603328,54,7
Pontibacter korlensis,400092,X14-1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,GCA_000973725.1,47.3,5.5,DQ888330,57.5,7
Pseudomonas caricapapayae,46678,ATCC 33615,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,59.2,,D84010,54.1,7
Exiguobacterium aurantiacum,33987,NCIB 11798,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,,54.5,,X70316,55.7,7
Zhouia amylolytica,376730,HN-171,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zhouia,,34.5,,DQ423479,50.1,7
Paracoccus halophilus,376733, HN-182,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,67.2,,DQ423482,55.5,7
Erythrobacter xanthus,1784712,SM1501,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,,64.5,,KU529278,53.6,7
Poseidonocella sedimentorum,871652,KMM 9023,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Poseidonocella,,65.4,,AB576006,55.2,7
Actinocorallia glomerata,46203,DSM 44360,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,,71.7,,AF134068,59.9,7
