genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Natronococcus jeotgali,413812,B1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,,64.4,,EF077631,59.5,21
Halalkalicoccus jeotgali,413810,B3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,GCA_000196895.1,62.6,3.7,EF077632,59.2,21
Streptomyces rubrisoli,1387313,FXJ1.725,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,72.9,,KC137299,58.9,21
Acidiferrobacter thiooxydans,163359,m-1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,,,,AF387301,55.2,21
Bacillus piscicola,1632684,NR1-3-2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,44.2,,LC036257,56.6,21
Veillonella magna,464322,lac18,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,,,,EU096495,54.3,21
Bacillus oryziterrae,1191699,ZYK,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36.1,,JX103165,54.7,21
Actinoallomurus oryzae,502180,GMKU 370,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,,65.4,,EU420071,59.3,21
Georgfuchsia toluolica,424218,G5G6,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Georgfuchsia,,,,EF219370,55.5,21
Bacillus notoginsengisoli,1578198,SYP-B691,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,45.2,,KP076294,56.3,21
Nocardioides ginkgobilobae,1630595,SYP-A7303,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,72,,KP128917,57.8,21
Tenuibacillus multivorans,237069,1墩28휑,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Tenuibacillus,,36.8,,AY319933,55.4,21
Aeromicrobium erythreum,2041,NRRL B-3381,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,GCA_001509405.1,72.1,3.6,AF005021,58.8,21
Belliella buryatensis,1500549,5C,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Belliella,,57,,LK021687,52.1,21
Spongiimonas flava,1222336,J36A-7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiimonas,,31.2,,AB742039,51,21
Kosmotoga olearia,651457,TBF 19.5.1,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,GCA_000023325.1,41.5,2.3,NR_044583,61.5,20
Quasibacillus thermotolerans,1221996,SgZ-8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Quasibacillus,,49.3,,JX261934,57.2,20
Thalassorhabdus alkalitolerans,2282697,G27,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Thalassorhabdus,,43.4,,MF781072,56.1,20
Thermocrispum municipale,37926,MKD 35,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Thermocrispum,,71,,X79184,58.8,20
Thermocrispum agreste,37925,CHB77 ,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Thermocrispum,,71,,X79183,58.8,20
Scopulibacillus daqui,1469162,ZQ18-1,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Scopulibacillus,,40.5,,KJ136650,55.1,20
Tepidicella baoligensis,2707016,B18-50,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Tepidicella,,62.8,,MH220084,56.9,20
Halanaerobacter jeridensis,706427,CEJFG43,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobacter,,33.3,,GU265900,51.3,20
Sulfobacillus thermotolerans,338644,Kr1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,,48.2,,DQ124681,61.8,20
Halocalculus aciditolerans,1383812,MH2-243-1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halocalculus,,68.5,,AB844670,57.6,20
Novosphingobium endophyticum,1955250,EGI 60015,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,66.6,,NR_145944,54.8,20
Sulfobacillus thermosulfidooxidans,28034,AT-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,,47.4,,AB089844,62.5,20
Crenalkalicoccus roseus,1485588,YIM 78023,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Crenalkalicoccus,,74.3,,KJ361470,61.2,20
Orenia metallireducens,1413210,Z6,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia,,32.1,,KP898732,50.8,20
Pueribacillus theae,2171751,T8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pueribacillus,,39,,MG725951,55.4,20
Salinigranum halophilum,2565931,YJ-53,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Salinigranum,,66.1,,KJ689298,58.3,20
Nocardiopsis chromatogenes,280239, CCTCC AA 2040015,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,71.8,,AY619715,60.2,20
Nocardiopsis rhodophaea,280238,CCTCC AA 2040014,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,67.1,,AY619714,58.7,20
Nocardiopsis rosea,280237,CCTCC AA 2040013,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,67.9,,AY619713,59.8,20
Natrinema gari,419186,HIS40-3,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,,64.7,,AB289741,58.1,20
Chelatococcus composti,1743235,PC-2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Chelatococcaceae,Chelatococcus,,70.9,,KP994349,57,20
