Pyrolobus fumarii,54252,1A,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus,GCA_000223395.1,54.9,1.8,X99555,68.4,90
Methanopyrus kandleri,2320,116,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,,,,AB301476,67.7,85
Geogemma barossii,1927912,121,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,,,,,,85
Thermofilum pendens,2269,Hvv3,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,GCA_000015225.1,57.7,1.8,X14835,65.2,85
Ignisphaera aggregans,334771,AQ1.S1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,,52.9,,DQ060321,66,85
Thermoproteus tenax,2271,Kra 1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,GCA_000253055.1,55.1,1.8,AY538162,67.6,85
Methanopyrus kandleri,2320,AV19,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,GCA_000007185.1,61.2,1.7,NR_074539,68.1,84
Pyrodictium occultum,2309,PL-19,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,63.5,,M21087,68.7,82
Hyperthermus hephaesti,1227648,Ro04,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,,,,JX227922,67.9,82
Pyrodictium delaneyi,1273541,Su06,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,GCA_001412615.1,53.9,2,CP013011,68.9,82
Pyrodictium brockii,35616,S1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,62,,NR_104987,68.7,80
Pyrodictium abyssi,54256,AV2,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,59,,NR_104986,69.1,80
Pyrococcus yayanosii,1008460,CH1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000215995.1,51.6,1.7,EU682399,66.7,80
Pyrococcus horikoshii,53953,OT3,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000011105.1,41.9,1.7,D45214,66.6,80
Thermogladius calderae,1200300,1633,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,GCA_000264495.1,55.6,1.4,CP003531,66.6,80
Pyrobaculum organotrophum,2278,JCM 9190,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,46,,AB063647,68.2,78
