genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Methanocaldococcus infernus,67760,ME,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000092305.1,33.6,1.3,AF025822,64.5,49
Methanocaldococcus vulcanius,73913,M7,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000024625.1,31.6,1.8,AF051404,63.7,49
Thermococcus barophilus,55802,MP,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000151105.2,41.7,2.1,U82237,66.3,48
Methanocaldococcus fervens,83171,AG8G ,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000023985.1,32.2,1.5,AF056938,64.7,48
Thermotoga naphthophila,93930, RKU-10,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000025105.1,46.1,1.8,AB027017,63.9,48
Desulfotomaculum solfataricum,190967,V21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,48.3,,AY084078,58.4,48
Thermotoga petrophila,93929,RKU-1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000016785.1,46.1,1.8,AB027016,64.4,47
Thermus thermophilus,274,HB8,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_002355995.1,69,2.1,M26923,63.9,47
Thermosulfuriphilus ammonigenes,1936021,ST65,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfuriphilus,,,,KY471008,60.6,47
Thermoanaerobacter thermocopriae,29350,JT3-3,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,37.2,,L09167,59.7,47
Picrophilus torridus,82076,KAW 2/3,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,GCA_000008265.1,36,1.5,AE017261,55.5,47
Picrophilus oshimae,46632,JCM 10054,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,,36,,X84901,55.6,47
Kyrpidia tusciae,33943,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,GCA_000092905.1,59.1,3.4,NR_040846,62.8,47
Moorella thermoacetica,1525,ATCC 35608,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,GCA_001267435.1,55.8,2.6,AY656675,57.5,47
Fervidobacterium riparium,548918,1445t,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,31,,EU851047,60.1,46
Brockia lithotrophica,933949,Kam1851 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Brockia,,63,,HQ540553,63.8,46
Moorella humiferrea,676965,64-FGQ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,,51,,GQ872425,58.9,46
Methanotorris igneus,2189,Kol 5,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,GCA_000214415.1,32.3,1.9,M59125,59,45
Palaeococcus helgesonii,207243,PI1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,,42.5,,AY134472,63.6,45
Caldicoprobacter guelmensis,1170224,D2C22,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,41.6,,JQ707908,59.2,45
Acidianus sulfidivorans,312539,JP7,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_003201765.1,31.1,2.3,AY907891,60.7,45
Caldicellulosiruptor kristjanssonii,52765,I77R1B,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166695.1,36.1,2.8,AJ004811,58.6,45
Thermocladium modestius,62609,1C-125,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermocladium,,52,,AB005296,63.9,45
Caldicellulosiruptor kronotskyensis,413889,2002,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166775.1,35.1,2.8,EF100909,58.3,45
Thermodesulfobacterium commune,1741,YSRA-1 ,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,GCA_000734015.1,37,1.8,L10662,52.7,45
Thermosipho japonicus,90323,IHB1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31.4,,AB024932,60.9,45
Thermosipho melanesiensis,46541,BI429,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,GCA_000016905.1,31.4,1.9,Z70248,60.4,45
Caldicellulosiruptor saccharolyticus,44001,Tp8T 6331,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000016545.1,35.3,3,L09178,58.7,45
Methanothermobacter tenebrarum,680118,M.O.H.,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,52,,AB523785,59,45
Thermosipho atlanticus,238991,DV1140,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,33,,AJ577471,60.4,45
